item,imdbID,itemLabel,domesticGross
http://www.wikidata.org/entity/Q5604194,tt0104366,Greenkeeping,17100
http://www.wikidata.org/entity/Q28790662,tt3173594,Hacker,11200
http://www.wikidata.org/entity/Q89130371,tt7251888,Beside Me,10852
http://www.wikidata.org/entity/Q5429796,tt0089122,Fair Game,13902
http://www.wikidata.org/entity/Q4655994,tt0355336,A Cold Summer,20380
http://www.wikidata.org/entity/Q85967042,tt11496286,Eroski Paraíso,12318.3
http://www.wikidata.org/entity/Q85967479,tt11950836,Lúa vermella,10608.97
http://www.wikidata.org/entity/Q63068747,tt6213294,Q63068747,12009
http://www.wikidata.org/entity/Q1783930,tt1187064,Triangle,11282
http://www.wikidata.org/entity/Q12300135,tt0410056,Through Your Eyes,14493
http://www.wikidata.org/entity/Q110263833,tt12953548,Super Sharanya,23
http://www.wikidata.org/entity/Q96627300,tt3339650,Q96627300,4163.5
http://www.wikidata.org/entity/Q6179367,tt0091289,Jenny Kissed Me,1824
http://www.wikidata.org/entity/Q7242453,tt1024232,Prey,744
http://www.wikidata.org/entity/Q4812311,tt0053563,At Five O'Clock in the Afternoon,1892.61
http://www.wikidata.org/entity/Q115427264,tt17526648,The Hidden,3000
http://www.wikidata.org/entity/Q12387161,tt1873551,Doentes,5098.6
http://www.wikidata.org/entity/Q31457048,tt7328154,Holiday,2671
http://www.wikidata.org/entity/Q165525,tt0237993,101 Reykjavík,126.404
http://www.wikidata.org/entity/Q108678555,tt4296386,Goodbye Mom,7424
http://www.wikidata.org/entity/Q2082065,tt1656170,Bringing Up Bobby,4975
http://www.wikidata.org/entity/Q110103454,tt8661486,Almost Ghosts,1038
http://www.wikidata.org/entity/Q490588,tt0808185,The Bothersome Man,7986
http://www.wikidata.org/entity/Q92206887,tt0867406,Q92206887,1112.7
http://www.wikidata.org/entity/Q39073809,tt5886440,Marrowbone,1377
http://www.wikidata.org/entity/Q19364051,tt0042672,The Lioness of Castille,1670.47
http://www.wikidata.org/entity/Q12384500,tt0283943,Blanca Madison,7994.8
http://www.wikidata.org/entity/Q55642336,tt8461224,The Tax Collector,309.694
http://www.wikidata.org/entity/Q12126226,tt0808380,Modern Love,549
http://www.wikidata.org/entity/Q533383,tt0368226,The Room,1800
http://www.wikidata.org/entity/Q7502504,tt0108123,Shotgun Wedding,4794
http://www.wikidata.org/entity/Q3099419,tt0287624,Paradise Found,4590
http://www.wikidata.org/entity/Q6058143,tt1529279,Into the Shadows,4384
http://www.wikidata.org/entity/Q3422550,tt0094680,As Time Goes By,5854
http://www.wikidata.org/entity/Q12129249,tt0108331,This Won't Hurt a Bit,6686
http://www.wikidata.org/entity/Q106726912,tt14354838,Héroes. Silencio y Rock & Roll,3909.4
http://www.wikidata.org/entity/Q108055717,tt10919020,A Diary of a First-grader Mom,18.2
http://www.wikidata.org/entity/Q97332807,tt0117988,Turning April,3421
http://www.wikidata.org/entity/Q108677829,tt6144532,A House for Rent with All the Inconveniences,478
http://www.wikidata.org/entity/Q56874855,tt8020896,An Elephant Sitting Still,7043
http://www.wikidata.org/entity/Q56874855,tt8020896,An Elephant Sitting Still,7.667
http://www.wikidata.org/entity/Q12401272,tt2028588,Tralas Luces,4437.1
http://www.wikidata.org/entity/Q6900802,tt1189897,Monkey Puzzle,3236
http://www.wikidata.org/entity/Q4185654,tt0036756,El destino se disculpa,120.74
http://www.wikidata.org/entity/Q7406587,tt1297299,Salvation,3182
http://www.wikidata.org/entity/Q6012891,tt0495351,In the Shadow of the Palms,1430
http://www.wikidata.org/entity/Q4839748,tt0094700,Backstage,8000
http://www.wikidata.org/entity/Q7761389,tt0111010,The Roly Poly Man,4067
http://www.wikidata.org/entity/Q3766318,tt0040544,Locura de amor,1937.04
http://www.wikidata.org/entity/Q5502707,tt0093049,Frenchman's Farm,2780
http://www.wikidata.org/entity/Q114149082,tt10315050,Dampyr,362.113
http://www.wikidata.org/entity/Q116148000,tt25828590,Fulbari,33.8
http://www.wikidata.org/entity/Q4997043,tt0092708,Bullseye,2847
http://www.wikidata.org/entity/Q4985510,tt0356446,Buenos Aires 100 Kilómetros,6015
http://www.wikidata.org/entity/Q4973484,tt1101031,Broken Sun,5089
http://www.wikidata.org/entity/Q97135192,tt1824171,Escuchando al juez Garzón,7064.19
http://www.wikidata.org/entity/Q300356,tt0093978,A Chinese Ghost Story,3867
http://www.wikidata.org/entity/Q98847186,tt6612178,Converso,88.85
http://www.wikidata.org/entity/Q7512687,tt0111185,Signal One,2000
http://www.wikidata.org/entity/Q5236629,tt1060255,The Horseman,3328
http://www.wikidata.org/entity/Q3415982,tt0112974,Epsilon,2373
http://www.wikidata.org/entity/Q7582033,tt1201592,Square One,2160
http://www.wikidata.org/entity/Q6683484,tt0038275,Los últimos de Filipinas,2720.25
http://www.wikidata.org/entity/Q14953721,tt2639254,A Little Chaos,10.084
http://www.wikidata.org/entity/Q56241217,tt7495440,Wonderful Losers: A Different World,93.144
http://www.wikidata.org/entity/Q65059119,tt8637440,The Climb,710.806
http://www.wikidata.org/entity/Q102067365,tt12847680,Retirement Home,229
http://www.wikidata.org/entity/Q23838445,tt1714917,Gimme Danger,532.347
http://www.wikidata.org/entity/Q85092153,tt10434142,Schoolgirls,461.216
http://www.wikidata.org/entity/Q4839735,tt0101395,Backsliding,5054
http://www.wikidata.org/entity/Q47530517,tt7725626,Viswasam,206
http://www.wikidata.org/entity/Q115516820,tt0918639,The View from Greenhaven,6648
http://www.wikidata.org/entity/Q5209788,tt0097145,Daisy and Simon,2261
http://www.wikidata.org/entity/Q260208,tt0330229,Dolls,4067
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,2730
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,4940
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,3259
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,3311
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,4536
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,4723
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,6286
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,7266
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,7879
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,8642
http://www.wikidata.org/entity/Q7597991,tt0102974,Stan and George's New Life,2009
http://www.wikidata.org/entity/Q6945105,tt0087763,My Brother's Wedding,8217
http://www.wikidata.org/entity/Q99362688,tt8237888,Yo la busco,4509.7
http://www.wikidata.org/entity/Q6945024,tt0385890,My Big Fat Independent Movie,4655
http://www.wikidata.org/entity/Q7676075,tt0092045,Tail of a Tiger,3566
http://www.wikidata.org/entity/Q98666650,tt8976842,Zavera,1670
http://www.wikidata.org/entity/Q116825482,tt15464742,Kali Jotta,39.68
http://www.wikidata.org/entity/Q4840227,tt1447944,Bad Bush,3961
http://www.wikidata.org/entity/Q30611889,tt5485420,The Shadow,5406
http://www.wikidata.org/entity/Q5299711,tt0082285,Double Deal,3731
http://www.wikidata.org/entity/Q4081065,tt0105801,Exchange Lifeguards,3634
http://www.wikidata.org/entity/Q4951724,tt0970922,Boxing Day,2588
http://www.wikidata.org/entity/Q5368741,tt0867284,Em4Jay,3110
http://www.wikidata.org/entity/Q112126298,tt19719976,Joyland,30.7
http://www.wikidata.org/entity/Q87656624,tt0046883,La cruz de mayo,1252.38
http://www.wikidata.org/entity/Q86460768,tt11382384,The Dissident,57
http://www.wikidata.org/entity/Q116719112,tt15056566,The Wishing Tree: Childhood Memories,405.373
http://www.wikidata.org/entity/Q107059453,tt11206172,The Cover,72329.17
http://www.wikidata.org/entity/Q7760394,tt0086189,The Return of Captain Invincible,55110
http://www.wikidata.org/entity/Q3260102,tt1451395,Lou,59505
http://www.wikidata.org/entity/Q4660710,tt0103282,A Woman's Tale,49534
http://www.wikidata.org/entity/Q4535654,tt1388924,I Am,70000
http://www.wikidata.org/entity/Q685817,tt0154506,Following,48500
http://www.wikidata.org/entity/Q7317149,tt0100479,Return Home,60000
http://www.wikidata.org/entity/Q255260,tt0365376,A Tale of Two Sisters,72541
http://www.wikidata.org/entity/Q63398229,tt8633464,After Yang,46872
http://www.wikidata.org/entity/Q4763958,tt0211919,Angst,58850
http://www.wikidata.org/entity/Q3227001,tt0420835,Opal Dream,64461
http://www.wikidata.org/entity/Q6867932,tt0097888,Minnamurra,72462
http://www.wikidata.org/entity/Q5823801,tt0074116,The Stash,67310.61
http://www.wikidata.org/entity/Q2586958,tt0177195,Sample People,47252
http://www.wikidata.org/entity/Q1313095,tt0372937,Into the Mirror,70277
http://www.wikidata.org/entity/Q19364062,tt2380207,Stockholm,50000
http://www.wikidata.org/entity/Q1130395,tt0091251,Come and See,71909
http://www.wikidata.org/entity/Q105441000,tt14033502,Bad Luck Banging or Loony Porn,72342
http://www.wikidata.org/entity/Q26684198,tt5973626,Batman: Return of the Caped Crusaders,56711
http://www.wikidata.org/entity/Q3283639,tt0775080,Closed for Winter,53370
http://www.wikidata.org/entity/Q178946,tt0074971,Night of the Skull,46763
http://www.wikidata.org/entity/Q7380023,tt0093893,Running from the Guns,72356
http://www.wikidata.org/entity/Q99002841,tt8376986,A normal world,57737
http://www.wikidata.org/entity/Q7743642,tt0079374,The Journalist,52000
http://www.wikidata.org/entity/Q12125409,tt0084212,Kitty and the Bagman,58407
http://www.wikidata.org/entity/Q58874656,tt4058346,Name Me,63000
http://www.wikidata.org/entity/Q7243324,tt1156396,Prime Mover,52119
http://www.wikidata.org/entity/Q6365876,tt0847738,Kanyini,52450
http://www.wikidata.org/entity/Q19364012,tt1881109,Zeroville,65000
http://www.wikidata.org/entity/Q5167277,tt0090876,Cool Change,60868
http://www.wikidata.org/entity/Q6382675,tt0244020,Keechaka Vadham,50000
http://www.wikidata.org/entity/Q152350,tt0015648,Battleship Potemkin,46653
http://www.wikidata.org/entity/Q112574276,tt0069208,La saga de los Drácula,61729
http://www.wikidata.org/entity/Q7757326,tt0093745,The Place at the Coast,57400
http://www.wikidata.org/entity/Q7768424,tt0452692,The Tender Hook,64232
http://www.wikidata.org/entity/Q56874855,tt8020896,An Elephant Sitting Still,47264
http://www.wikidata.org/entity/Q4912057,tt0112509,Billy's Holiday,68472
http://www.wikidata.org/entity/Q7628788,tt0078335,Stunt Rock,54000
http://www.wikidata.org/entity/Q1516308,tt0119272,Heaven's Burning,55780
http://www.wikidata.org/entity/Q70245287,tt0106245,The Devil's Breath,72447
http://www.wikidata.org/entity/Q783461,tt0084899,White Dog,46509
http://www.wikidata.org/entity/Q5245167,tt0090915,Dead End Drive-In,68000
http://www.wikidata.org/entity/Q101001959,tt9387250,Skylines,69808
http://www.wikidata.org/entity/Q5016134,tt0090784,Cactus,73751
http://www.wikidata.org/entity/Q961100,tt0115994,Curdled,49620
http://www.wikidata.org/entity/Q2819736,tt2375574,A Field in England,64349
http://www.wikidata.org/entity/Q39078779,tt3208026,Black '47,57520
http://www.wikidata.org/entity/Q8178730,tt0065373,"20,000 dólares por un cadáver",62201.92
http://www.wikidata.org/entity/Q108940238,tt11564468,Barakat,66181
http://www.wikidata.org/entity/Q15729024,tt2675914,In Order of Disappearance,50251
http://www.wikidata.org/entity/Q20649989,tt2394063,Too Late,60000
http://www.wikidata.org/entity/Q7573492,tt0138829,Spank!,62374
http://www.wikidata.org/entity/Q4338198,tt0266821,Peculiarities of the National Hunt in Winter Season,65062
http://www.wikidata.org/entity/Q100191256,tt0079151,Q100191256,56903.47
http://www.wikidata.org/entity/Q7979464,tt0078482,Weekend of Shadows,61000
http://www.wikidata.org/entity/Q631936,tt0157016,I Stand Alone,54735
http://www.wikidata.org/entity/Q5882448,tt0089216,Golfo de Vizcaya,65197
http://www.wikidata.org/entity/Q12386712,tt1851880,Crebinsky,48198.9
http://www.wikidata.org/entity/Q56315512,tt6157970,Wheely,49983
http://www.wikidata.org/entity/Q5937650,tt0375824,Human Touch,55365
http://www.wikidata.org/entity/Q114397746,tt2099556,Antiviral,61808
http://www.wikidata.org/entity/Q3478948,tt0903644,September,72549
http://www.wikidata.org/entity/Q104646669,tt13097336,The Lady of Heaven,54966
http://www.wikidata.org/entity/Q3279525,tt0081334,Phobia,59167
http://www.wikidata.org/entity/Q7699189,tt0938339,Ten Empty,49015
http://www.wikidata.org/entity/Q151884,tt0410764,Tideland,66453
http://www.wikidata.org/entity/Q12125013,tt0355563,The Illustrated Family Doctor,51895
http://www.wikidata.org/entity/Q381528,tt0067961,Wanda,51713
http://www.wikidata.org/entity/Q3425650,tt0117422,The Quiet Room,57245
http://www.wikidata.org/entity/Q7752396,tt0436607,The Motel,51540
http://www.wikidata.org/entity/Q48672731,tt0103817,Black Harvest,52736
http://www.wikidata.org/entity/Q18157191,tt2784512,Zombeavers,54985
http://www.wikidata.org/entity/Q3061975,tt0796212,Exiled,51957
http://www.wikidata.org/entity/Q56744258,tt0111407,"That Eye, the Sky",53100
http://www.wikidata.org/entity/Q4839322,tt0112439,Back of Beyond,49601
http://www.wikidata.org/entity/Q29406218,tt5989220,Claire's Camera,67373
http://www.wikidata.org/entity/Q3545539,tt0101996,Hammers Over the Anvil,50491
http://www.wikidata.org/entity/Q6815990,tt1214974,Men's Group,67184
http://www.wikidata.org/entity/Q2893302,tt1170391,Beautiful,56101
http://www.wikidata.org/entity/Q1339178,tt0108188,Sonatine,58834
http://www.wikidata.org/entity/Q6362508,tt0091325,Kangaroo,63973
http://www.wikidata.org/entity/Q56604165,tt6789126,Ruben Blades Is Not My Name,46953
http://www.wikidata.org/entity/Q65247560,tt6012244,All the Devil's Men,65829
http://www.wikidata.org/entity/Q7836076,tt0335596,Travelling Light,54619
http://www.wikidata.org/entity/Q3367212,tt2597216,Pas très normales activités,51577
http://www.wikidata.org/entity/Q1617093,tt0080671,The Earthling,72000
http://www.wikidata.org/entity/Q4129965,tt2543010,Horizon Sky,71208
http://www.wikidata.org/entity/Q7810947,tt0117925,To Have & to Hold,55061
http://www.wikidata.org/entity/Q6699927,tt0097794,Luigi's Ladies,60814
http://www.wikidata.org/entity/Q3481111,tt0248190,No Such Thing,62703
http://www.wikidata.org/entity/Q7091069,tt0105052,On My Own,60000
http://www.wikidata.org/entity/Q5880596,tt0099780,Holidays on the River Yarra,24600
http://www.wikidata.org/entity/Q4204793,tt2328813,Hard to Be a God,28608
http://www.wikidata.org/entity/Q6537610,tt0110337,Lex and Rory,39285
http://www.wikidata.org/entity/Q57502054,tt5894846,Al Berto,23099.33
http://www.wikidata.org/entity/Q7936343,tt0301989,Visitors,34276
http://www.wikidata.org/entity/Q15039829,tt0098959,Wendy Cracked a Walnut,43074
http://www.wikidata.org/entity/Q7514631,tt0145467,Silent Partner,33101
http://www.wikidata.org/entity/Q54863875,tt10497992,Shantet Hamza,31932
http://www.wikidata.org/entity/Q5564354,tt1329354,Girl Clock!,43434
http://www.wikidata.org/entity/Q490588,tt0808185,The Bothersome Man,30972
http://www.wikidata.org/entity/Q5188864,tt0083771,Crosstalk,26000
http://www.wikidata.org/entity/Q21998244,tt5096628,Paris 05:59,34994.19
http://www.wikidata.org/entity/Q4959559,tt0094795,Breaking Loose,28648
http://www.wikidata.org/entity/Q7730099,tt0295480,The Diaries of Vaslav Nijinsky,39996
http://www.wikidata.org/entity/Q4879081,tt0106373,Bedevil,27300
http://www.wikidata.org/entity/Q112177101,tt3587486,La película de Ana,43430
http://www.wikidata.org/entity/Q4959480,tt0083691,Breakfast in Paris,42000
http://www.wikidata.org/entity/Q4824097,tt0092597,Australian Dream,45000
http://www.wikidata.org/entity/Q5057968,tt0094849,Celia,23336
http://www.wikidata.org/entity/Q105657922,tt13622118,Cryptozoo,33765
http://www.wikidata.org/entity/Q105657922,tt13622118,Cryptozoo,37883
http://www.wikidata.org/entity/Q1168478,tt0108565,Wide Sargasso Sea,45306
http://www.wikidata.org/entity/Q7997781,tt2409302,Why Don't You Play in Hell?,28534
http://www.wikidata.org/entity/Q4656244,tt0082233,A Dangerous Summer,33000
http://www.wikidata.org/entity/Q34823412,tt5517708,Lola Pater,26103
http://www.wikidata.org/entity/Q4939509,tt0301050,Bolivia,42451
http://www.wikidata.org/entity/Q120641016,tt1310363,Bastardy,37570
http://www.wikidata.org/entity/Q1194035,tt0997147,Big Man Japan,40796
http://www.wikidata.org/entity/Q111549435,tt15471560,Smoking Causes Coughing,41062
http://www.wikidata.org/entity/Q823239,tt0454065,The Aerial,45123
http://www.wikidata.org/entity/Q1984949,tt0425196,Like Minds,34840
http://www.wikidata.org/entity/Q60425569,tt2494396,Mapa,38418.63
http://www.wikidata.org/entity/Q433000,tt0089748,When Father Was Away on Business,41184
http://www.wikidata.org/entity/Q5036199,tt0097012,Cappuccino,42100
http://www.wikidata.org/entity/Q56874855,tt8020896,An Elephant Sitting Still,32556
http://www.wikidata.org/entity/Q3636862,tt0168492,Battle of Blood Island,28828.12
http://www.wikidata.org/entity/Q7367370,tt0282129,Rosarigasinos,38286
http://www.wikidata.org/entity/Q7717381,tt0452003,The Bet,25032
http://www.wikidata.org/entity/Q80351358,tt0774513,My Grandmother's House,45033.5
http://www.wikidata.org/entity/Q27043749,tt5186236,Afterimage,33443
http://www.wikidata.org/entity/Q5098635,tt0090831,Chile: When Will It End?,25100
http://www.wikidata.org/entity/Q510864,tt0480669,Timecrimes,39127
http://www.wikidata.org/entity/Q28136699,tt3091304,The Dog,44532
http://www.wikidata.org/entity/Q2410173,tt0404318,Losing is a matter of method,37071
http://www.wikidata.org/entity/Q7801402,tt1748260,Tiger Eyes,27160
http://www.wikidata.org/entity/Q115685233,tt21299844,The Land of Ahimsa,27662
http://www.wikidata.org/entity/Q6896502,tt0379382,Molly & Mobarak,34515
http://www.wikidata.org/entity/Q5245604,tt0104065,Deadly,25421
http://www.wikidata.org/entity/Q2819736,tt2375574,A Field in England,32846
http://www.wikidata.org/entity/Q110206775,tt0390195,Perfecto amor equivocado,30714
http://www.wikidata.org/entity/Q876284,tt1007950,Diminished Capacity,23719
http://www.wikidata.org/entity/Q372,tt0498329,We Live in Public,41711
http://www.wikidata.org/entity/Q100221213,tt0078407,Q100221213,42593.63
http://www.wikidata.org/entity/Q6158124,tt0098571,Urxa,26514
http://www.wikidata.org/entity/Q5547303,tt0095208,Georgia,44205
http://www.wikidata.org/entity/Q112892327,tt21254598,Cobweb,33503
http://www.wikidata.org/entity/Q12124935,tt0775486,Hunt Angels,40883
http://www.wikidata.org/entity/Q4830757,tt0101387,Aya,40400
http://www.wikidata.org/entity/Q3108555,tt1092004,Glass: A Portrait of Philip in Twelve Parts,26768
http://www.wikidata.org/entity/Q102067365,tt12847680,Retirement Home,30296
http://www.wikidata.org/entity/Q104923485,tt8483272,Strike,24743
http://www.wikidata.org/entity/Q121788928,tt0113875,Mushrooms,25530
http://www.wikidata.org/entity/Q6697875,tt1270090,Lucky Country,27424
http://www.wikidata.org/entity/Q7731969,tt0089088,The Empty Beach,34341
http://www.wikidata.org/entity/Q7065897,tt0086024,Now and Forever,34671
http://www.wikidata.org/entity/Q497326,tt0262415,Woman of Fire,24955
http://www.wikidata.org/entity/Q7796818,tt0094133,Those Dear Departed,33887
http://www.wikidata.org/entity/Q64285608,tt3969208,Trust Fund,36885
http://www.wikidata.org/entity/Q4824403,tt0199342,Australian Made: The Movie,43479
http://www.wikidata.org/entity/Q6477009,tt0816556,Lake Mungo,29850
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,22927
http://www.wikidata.org/entity/Q39070849,tt6483364,Teen Spirit,32347
http://www.wikidata.org/entity/Q16210602,tt0424235,Letters to Ali,33658
http://www.wikidata.org/entity/Q6945105,tt0087763,My Brother's Wedding,26177
http://www.wikidata.org/entity/Q2663674,tt0088931,The Coca-Cola Kid,36365
http://www.wikidata.org/entity/Q4828080,tt0069746,Avengers of the Reef,27000
http://www.wikidata.org/entity/Q594030,tt0106963,Frauds,29740
http://www.wikidata.org/entity/Q7991628,tt0100915,What the Moon Saw,43919
http://www.wikidata.org/entity/Q5373662,tt0123056,Emoh Ruo,34000
http://www.wikidata.org/entity/Q7721564,tt0144130,The Castanet Club,25100
http://www.wikidata.org/entity/Q21512423,tt2905422,Girl Gets Girl,36316
http://www.wikidata.org/entity/Q7883485,tt0086511,Undercover,44666
http://www.wikidata.org/entity/Q483849,tt0310775,Sympathy for Mr. Vengeance,45289
http://www.wikidata.org/entity/Q20534635,tt1928266,Sinbad,44871
http://www.wikidata.org/entity/Q5141012,tt1104814,Coffin Rock,31312
http://www.wikidata.org/entity/Q14834030,tt1798243,Rudderless,37440
http://www.wikidata.org/entity/Q5522034,tt0104320,Garbo,32227
http://www.wikidata.org/entity/Q1810314,tt0339840,Undead,41196
http://www.wikidata.org/entity/Q97168156,tt16430516,V.o. Svyatoho Mykolaya,22883
http://www.wikidata.org/entity/Q5187786,tt0954272,Crooked Business,27804
http://www.wikidata.org/entity/Q10339275,tt0303408,The Trespasser,33041
http://www.wikidata.org/entity/Q7699590,tt0098455,Tender Hooks,40800
http://www.wikidata.org/entity/Q7883338,tt0118030,Under the Lighthouse Dancing,30321
http://www.wikidata.org/entity/Q6463638,tt0073338,La Maldicion de la Bestia,103597.64
http://www.wikidata.org/entity/Q3038433,tt0059126,Dr. Who and the Daleks,98824
http://www.wikidata.org/entity/Q3038433,tt0059126,Dr. Who and the Daleks,114062
http://www.wikidata.org/entity/Q114000704,tt18816518,Sick of Myself,106156
http://www.wikidata.org/entity/Q89285060,tt9063684,U Get What U Kiss,92805
