Dimension 1,Dimension 2
-42.774376,-0.18204397
59.862343,1.2984416
-100.691086,0.72308403
68.63275,4.6221976
-70.370674,-25.886211
-8.245819,-47.320667
-15.391395,-0.2864995
-43.410366,8.541357
27.368107,83.342545
-37.94824,5.9100833
-68.8985,53.883167
-66.07623,0.97417015
-44.367596,19.157335
-11.589015,-27.946339
65.827194,-4.1261377
-62.276794,-56.08745
-15.569845,-76.1497
-4.1260037,-11.16923
60.849716,1.3266625
70.09849,46.12151
-22.459316,80.884346
-6.5116906,74.636566
67.869095,20.227365
68.832306,46.1507
-45.9766,4.954535
41.930077,-61.660374
52.176785,-71.01735
40.364563,46.04399
71.21921,2.927909
-64.814575,-37.24909
-40.637264,-29.754185
30.188873,-36.184486
-34.362324,-52.797016
33.234764,-59.937477
0.02665295,2.6525004
-55.84953,-51.090908
71.96247,-41.548096
5.7167687,25.814056
38.486465,-56.545345
71.799164,46.674473
-25.242031,-1.3746079
56.929867,-3.0446625
-8.7667885,-7.613513
22.715412,34.798645
18.94749,-28.637268
-45.072002,-7.9414372
-46.360912,66.40478
40.85332,45.930344
-69.38358,-26.624418
-12.775497,-77.69895
-11.400595,41.099293
26.392572,-1.2879658
-49.659046,-8.876042
85.16148,-25.268152
-32.789776,-60.583595
85.07052,-21.960003
72.026,-40.93085
-5.599097,-53.733868
-46.948467,60.646225
-15.788148,-30.44539
3.6633303,-96.23493
-82.00644,19.927809
-52.10318,10.258908
4.901927,-32.711723
-48.08022,27.057228
27.662458,20.78526
15.092231,50.198288
-47.368355,-57.597836
-4.3466244,79.43634
-30.857887,-53.66617
28.813833,-12.677653
63.30025,-34.91633
74.787895,-31.669336
-51.82903,-41.873707
-31.475628,-54.810085
78.1222,-30.71538
-27.291561,52.103783
71.886406,46.522293
-39.887924,-21.19294
-46.35694,-14.311429
4.180309,-96.486305
47.21861,8.808396
-32.007004,-33.07833
31.28889,42.374466
7.0193305,-7.8156366
-4.2291265,-19.774704
-33.29384,-33.384468
34.074192,-76.205215
32.36613,17.26055
-65.784485,36.73646
-15.397532,-0.28268492
8.599911,20.361021
2.0844216,-52.977592
-0.8144529,50.017536
38.24714,-58.129204
-35.51077,-31.056883
-67.443245,-46.815277
-51.373234,2.784362
58.268253,13.227345
-40.730362,22.477024
