isAdult,releaseYear,runtimeMinutes,genres,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased
0,1996,78,"Drama,Romance",329211.0,21,64,25,12,6.4,3997,4372
0,1984,105,"Comedy,Romance",4561346.0,30,6,19,10,5.6,1636,4434
0,2015,92,"Documentary,Drama",8074.0,11,11,20,10,6.7,1327,17292
0,2015,111,"Action,Adventure,Comedy",35088320.0,49,57,24,10,5.7,67241,17292
0,2000,106,"Biography,Drama",15120.0,18,5,24,10,5.9,1857,5246
0,1995,139,"Adventure,Biography,Drama",31596911.0,37,46,19,10,6.9,45810,4397
0,1989,101,"Comedy,Drama,Romance",19674852.0,31,89,17,10,6.1,5151,4633
0,2005,100,"Action,Comedy,Family",63946815.0,49,45,22,12,6.3,94946,7753
0,2002,110,"Crime,Drama",30005.0,15,1,21,10,5.6,4589,5864
0,1994,116,"Action,Adventure,Thriller",121248145.0,61,6,19,10,7.3,393214,4186
0,2017,116,"Drama,Fantasy,Horror",147391.0,41,12,19,10,7.0,36737,18977
0,2009,90,Drama,16880.0,5,33,23,9,6.0,45,12001
0,2009,94,"Crime,Drama",16880.0,9,3,21,10,5.6,1033,12001
0,2018,101,"Action,Comedy,Drama",85624.0,27,7,21,10,6.3,3582,19175
0,2018,83,Action,85624.0,4,2,4,0,7.1,21,19175
0,2003,95,"Crime,Drama,Thriller",148959.0,22,25,17,10,7.4,5317,6147
0,2001,116,"Action,Drama,Sport",32720065.0,47,83,24,10,4.6,43194,5636
0,1980,89,"Horror,Thriller",21448782.0,67,33,19,10,6.8,83277,4117
0,2007,93,"Comedy,Drama",11931.0,10,3,22,12,6.5,5244,9066
0,2000,90,"Drama,Mystery,Thriller",5108820.0,29,83,20,10,5.9,17616,5246
0,2000,134,"Comedy,Drama",5108820.0,7,78,17,10,4.8,842,5246
0,2016,96,"Crime,Drama,History",4077333.0,14,9,20,10,5.2,607,18513
